Organization,Role,Date,User
Project Manager,Cogito NTNU,Sep 2018 - Jan 2020 · 1 yr 5 mos,dilawar
Project Member,Hackerspace NTNU,Sep 2018 - Jun 2019 · 10 mos,dilawar
Local Volunteer,AIESEC,Jul 2017 - Sep 2017 · 3 mos,dina-adel-shalabi-39a926135
Volunteer,Resala Charity Organization | جمعية رسالة للأعمال الخيرية,Social Services,dina-alaa-20a5091a7
Member of the Engineering Committee,IEEE Zewail City,Oct 2017 - Jun 2018 · 9 mos,dina-elkholy14
Member of the Corporate Relations Committee,Enactus,Oct 2016 - Oct 2017 · 1 yr 1 mo,dina-elkholy14
Member of the Tour Guiding Committee,Zewail City Science Festival,Sep 2017 - Oct 2017 · 2 mos,dina-elkholy14
Translator,TEDx,Aug 2018 - Nov 2018 · 4 mos,doaa-hindawii-b542a71b4
Translator,Amara Subtitling,Aug 2018 - Jun 2019 · 11 mos,doaa-hindawii-b542a71b4
Translator,Subscen.com,Jul 2018 - Nov 2018 · 5 mos,doaa-hindawii-b542a71b4
Vice President (Aast Alex),Enactus,Sep 2016 - Jun 2020 · 3 yrs 10 mos,duha-emad
Software Developer,IEEE AlexSB,Oct 2018 - Dec 2018 · 3 mos,elborolosymeeral
Programming Instructor,IEEE AlexSB,Oct 2018 - Mar 2019 · 6 mos,elborolosymeeral
"Information Management, Research and Development",TEDxYouth@Alexandria,Jul 2015 - Nov 2015 · 5 mos,elborolosymeeral
Volunteer,CEDO Egypt,Jan 2012 - Jan 2013 · 1 yr,eman-abdel-ghaffar-75587070
Sub-team leader,Ahla Shabab,Jan 2014 - Jan 2018 · 4 yrs,eman-othman-26634914a
Event Planning &amp; Script Writing commitee member,CSED Golden Jubilee,Jun 2019 - Aug 2019 · 3 mos,eman-rafik-00973416b
Delegate,Alexandria Model European Union,Aug 2017 - Oct 2017 · 3 mos,eman-rafik-00973416b
Publications committee member,STP (Steps Towards Progress),Aug 2015 - Apr 2016 · 9 mos,engyelshorbagy01
Linux System Admin,Free lance,,eslam-adel-163694b2
Member,Resala Charity Organization | جمعية رسالة للأعمال الخيرية,,eslam-alaa96
Member at Enter team,Mansoura University,Dec 2014 - Jul 2016 · 1 yr 8 mos,eslam-elgedawy
Public Relations,ENTER team,Jul 2016 - Mar 2017 · 9 mos,eslam-elgedawy
Head Of Public Relations,ENTER team,Apr 2017 - Jul 2018 · 1 yr 4 mos,eslam-elgedawy
Head Of Public Relations,IEEE Cairo University Student Branch,Aug 2019 - Jul 2020 · 1 yr,eslam-khaled-ek
Public Relations member,IEEE Cairo University Student Branch,Aug 2018 - Jul 2019 · 1 yr,eslam-khaled-ek
Public Relations Coordinator,AIChE - American Institute of Chemical Engineers,Jan 2014 - Jan 2015 · 1 yr,eslam-khodair
computer committee vice head,IEEE Cairo University Student Branch,Jan 2017 - Jan 2018 · 1 yr,eslam-mamdouh-63655016a
Frontend Web Development instructor,IEEE Cairo University Student Branch,Jan 2017 - Jan 2018 · 1 yr,eslam-mamdouh-63655016a
External and internal telations (PR and FR) member,Embedded Systems Laboratory | ESL,Aug 2018 - Present · 4 yrs 9 mos,eslam-mamdouh-63655016a
Event Coordinator,Cairo Comix,Nov 2019 · 1 mo,esmail-elmoussel
Vice Chairman Of The Board,ACM MU,Nov 2018 - Present · 4 yrs 6 mos,esraa-antar-b87b9517a
Team Lead,GDSC Medi-Caps,Dec 2019 - Mar 2021 · 1 yr 4 mos,esraa-antar-b87b9517a
Ambassador,TIEC,Nov 2019 - Present · 3 yrs 6 mos,esraa-antar-b87b9517a
Electrical Supervisor,Torpedo ROV,Aug 2021 - Present · 1 yr 9 mos,esraa-elbakly
Head of press and media,PMT,Nov 2018 - Jul 2020 · 1 yr 9 mos,esraa-elbakly
Member,Student Union F.O.E Alexandria University,Nov 2017 - Jun 2018 · 8 mos,esraa-elbakly
Peer assisted learning,UCSI,May 2017 - Aug 2020 · 3 yrs 4 mos,fady-khalil-5a23961b0
Web Designer,el rasala taining,Social Services,fatma-ali-773658a9
Event Organization Specialist,IEEE Zewail City,Jan 2017 - Jan 2018 · 1 yr,fatma-moanes
Event Photographer,TEDx ZewailCity UST,Apr 2019 · 1 mo,fatma-moanes
Content Creator and Actor,Zewail City Science Festival,Aug 2019 - Sep 2019 · 2 mos,fatma-moanes
Instructor,IEEE Egypt Section,Oct 2016 - Apr 2017 · 7 mos,fayrouz-yehia
Instructor,Tech planet,Jun 2018 - Aug 2018 · 3 mos,fayrouz-yehia
paticipant,IEEE Egypt Section,Feb 2017 - May 2017 · 4 mos,fayrouz-yehia
Assistant Organizer,Resala Charity Organization | جمعية رسالة للأعمال الخيرية,Oct 2014 - Present · 8 yrs 7 mos,fekri102
Volunteer at IEEE Organization,IEEE Egypt Section,Dec 2013 - Present · 9 yrs 5 mos,fekri102
Exhibition Coordinator,Resala Charity Organization | جمعية رسالة للأعمال الخيرية,Poverty Alleviation,gamal-saied-529337124
Scout Leader,St. Mark's Coptic Orthodox Cathedral Scout,Social Services,george-wageeh-047244156
Member of Engineering Committee,IEEE Zewail City,Sep 2017 - Jul 2018 · 11 mos,habiba-maziad
Member of Organization Committee,IEEE juniors Zewail City,Sep 2018 - Jul 2019 · 11 mos,habiba-maziad
Member,Rotaract,Jan 2012 - Jan 2014 · 2 yrs,halaemad
Art Teacher in Summer School,Saint Gabriel's School,Jan 2012 - Present · 11 yrs 4 mos,halaemad
Mentor,Pixels Egypt,Sep 2017 - Sep 2018 · 1 yr 1 mo,hamzafouad
Mentor,ICPC - ACM International Collegiate Programming Contest,Sep 2017 - Present · 5 yrs 8 mos,hassan-osama
Community Manager,ICPC - International Collegiate Programming Contest,Aug 2019 - Present · 3 yrs 9 mos,hassan-osama
Co-founder,A Plus team,Sep 2011 - Jan 2013 · 1 yr 5 mos,hayamsaleh
E-marketing member,Meca16,Sep 2013 - Present · 9 yrs 8 mos,hayamsaleh
OC member,Innovation14,Jan 2013 - Present · 10 yrs 4 mos,hayamsaleh
Public Relations,Feكra,Jan 2013 - Jan 2015 · 2 yrs,hazem-el-sherif-118083139
Logistics Member,IEEE,Jan 2016 - Jan 2017 · 1 yr,heba-abdelhakam
Logistics Leader,IEEE,May 2017 - Apr 2018 · 1 yr,heba-abdelhakam
IGV team member,AIESEC,Jan 2018 - Jan 2019 · 1 yr,heba-abdelhakam
Human Resources Specialist,ASU Racing Team,Dec 2018 - Sep 2019 · 10 mos,heba-abdelnasser
Human Resources Team Member,IDT-Egypt,Sep 2017 - Aug 2018 · 1 yr,heba-abdelnasser
Academic Member,Alashanek Ya Balady - Ain Shams University,Sep 2017 - Aug 2018 · 1 yr,heba-abdelnasser
Software developers Team Leader,Enactus,Sep 2018 - Feb 2019 · 6 mos,heidi-ashraf
Instructor at Cairo University - Faculty of Engineering ACM-ICPC chapter.,ICPC - International Collegiate Programming Contest,Sep 2018 - Present · 4 yrs 8 mos,hemdan99
IEEE CUSB Member,IEEE Cairo University Student Branch,Sep 2018 - May 2019 · 9 mos,hemdan99
Embedded Systems Technical Support,AZEX (Azhar Exhibition),Jan 2022 - Feb 2022 · 2 mos,hend-ibrahim
Presentation Member,Enactus Azhar Cairo,Nov 2020 - Jul 2022 · 1 yr 9 mos,hend-ibrahim
Public Relations Specialist,Developer student clubs-Alazhar University,Sep 2020 - Jan 2021 · 5 mos,hend-ibrahim
Member of the Engineering Committee,IEEE Zewail City,Nov 2018 - Mar 2019 · 5 mos,hkhairy
Section Leader,Code in Place,May 2021 - Jun 2021 · 2 mos,hossam-khir-allah
IT Member,Feكra,Dec 2016 - Oct 2017 · 11 mos,husseinraoouf
Public Relations Member,Feكra,Dec 2017 - Oct 2018 · 11 mos,husseinraoouf
"Co-Founder , President , Instructor",ICPC Assiut University Community,Oct 2015 - Present · 7 yrs 7 mos,hussienibrahiem
Marketing,Life Makers Foundation,Nov 2013 - Nov 2015 · 2 yrs 1 mo,hussienibrahiem
Vice President of Student Union,Student Union of Computer science Assiut University,Nov 2017 - Oct 2018 · 1 yr,hussienibrahiem
